,Player,Team,Season,TSPERCENT,EFGPERCENT,TOTALS%,ORBPERCENT,DRBPERCENT,TRBPERCENT,ASTPERCENT,TOVPERCENT,STLPERCENT,BLKPERCENT,USGPERCENT,PPR,PPS,ORTG,DRTG,EDIFF,FIC,PER,cluster
6176,Tony Mitchell,UNT,2012,0.645,.611,174.5,10.1,27.4,19.4,11.6,19.8,1.7,10.4,24.3,-6.0,1.6,115.2,80.1,35.1,358.9,29.1,cluster_8
6177,Andre Drummond,UConn,2012,0.509,.538,83.3,13.9,15.6,14.8,3.4,13.5,1.8,9.9,20.8,-4.6,1.2,103.4,95.8,7.6,354.8,21.1,cluster_8
6178,Aaron Gordon,ARZ,2014,0.503,.516,127.3,10.3,19.3,15.0,13.0,10.5,1.8,3.4,23.2,-0.4,1.2,108.9,87.7,21.2,416.8,19.6,cluster_8
6179,TaShawn Thomas,U of H,2012,0.576,.577,112.0,13.7,19.2,16.6,7.9,14.4,1.8,7.3,19.3,-3.0,1.3,115.4,99.0,16.4,366.1,23.4,cluster_8
6180,MaCio Teague,UNCA,2017,0.613,.565,180.9,1.9,14.3,8.1,15.3,6.9,1.8,0.8,20.4,2.6,1.4,127.2,99.0,28.1,392.3,20.4,cluster_8
6181,Tristan Thompson,TEXAS,2011,0.536,.546,103.3,14.0,13.7,13.8,8.1,12.7,1.8,7.2,22.4,-3.0,1.5,112.3,88.2,24.1,433.9,22.0,cluster_8
6182,Ben McLemore,KU,2013,0.633,.586,178.4,5.0,12.4,9.1,12.6,14.2,1.8,2.3,23.3,-2.3,1.5,121.4,92.3,29.1,416.5,21.9,cluster_8
6183,Glenn Robinson,MICH,2013,0.626,.611,157.2,7.8,11.4,9.7,5.8,8.6,1.8,0.8,15.3,-0.3,1.5,131.8,99.6,32.1,386.6,18.6,cluster_8
6184,Mike Watkins,PENST,2017,0.605,.590,123.3,11.3,26.1,18.6,5.6,14.0,1.8,11.7,19.2,-3.7,1.5,115.8,90.8,25.0,390.8,23.8,cluster_8
6185,Jalen Duren,MEMP,2022,0.608,.597,122.2,14.1,21.3,18.0,10.4,18.6,1.8,9.9,22.9,-5.3,1.5,112.8,90.7,22.1,347.0,25.6,cluster_8
6186,Oscar Tshiebwe,WVU,2020,0.597,.552,126.0,19.0,25.6,22.2,3.4,15.4,1.8,5.3,22.7,-6.4,1.6,119.2,84.8,34.5,344.5,28.5,cluster_8
6187,Trent Wiedeman,C of C,2011,0.674,.633,183.9,10.1,19.0,14.7,7.2,15.8,1.8,3.8,14.4,-1.6,1.7,132.5,98.2,34.3,360.8,20.1,cluster_8
6188,Jeremy Lamb,UConn,2011,0.568,.548,165.1,5.0,12.2,8.7,12.3,11.5,1.9,2.2,20.3,-0.7,1.2,117.8,99.0,18.8,346.1,19.0,cluster_8
6189,Oshae Brissett,SYRA,2018,0.491,.414,147.2,6.9,19.5,13.3,5.5,10.9,1.9,2.7,23.7,-3.6,1.2,106.4,96.3,10.1,387.9,16.6,cluster_8
6190,Steffon Mitchell,BOS,2018,0.494,.480,121.3,10.0,18.1,14.0,10.5,14.4,1.9,3.5,11.3,1.0,1.2,114.8,102.1,12.7,362.8,13.8,cluster_8
6191,Chase Budinger,ARZ,2007,0.592,.554,169.8,6.7,13.2,10.1,12.0,10.7,1.9,1.3,22.0,-0.7,1.3,123.2,104.9,18.4,357.1,21.0,cluster_8
6192,Jahii Carson,ASU,2013,0.552,.507,152.8,1.5,9.3,5.6,29.8,17.5,1.9,0.2,28.3,-0.5,1.3,106.3,102.2,4.1,354.9,19.0,cluster_8
6193,Brandon Ingram,DUKE,2016,0.552,.525,153.5,6.1,15.4,10.8,11.3,11.3,1.9,3.6,25.5,-2.0,1.3,114.9,103.4,11.5,448.0,21.4,cluster_8
6194,Jeff Green,GTOWN,2005,0.58,.543,160.0,10.3,14.1,12.3,19.8,18.0,1.9,5.4,23.0,-1.8,1.4,115.1,99.4,15.7,376.3,19.9,cluster_8
6195,Michael Kessens,LONG,2013,0.577,.543,145.9,9.2,21.8,15.5,9.2,19.7,1.9,3.6,22.0,-5.5,1.4,103.8,107.5,-3.6,372.9,18.5,cluster_8
6196,Elias Harris,ZAGS,2010,0.609,.582,167.4,8.8,18.3,14.0,7.9,13.3,1.9,1.7,24.3,-3.8,1.5,119.4,95.6,23.8,368.1,23.3,cluster_8
6197,Derrick Favors,GT,2010,0.621,.611,124.0,12.4,20.5,16.6,7.9,20.0,1.9,8.1,21.8,-6.4,1.5,111.6,88.1,23.5,434.9,23.3,cluster_8
6198,Michael Kidd-Gilchrist,UK,2012,0.57,.511,149.0,10.1,16.3,13.4,10.8,17.3,1.9,2.8,20.6,-3.0,1.5,115.3,90.7,24.6,423.5,20.7,cluster_8
6199,Justin Patton,CREI,2017,0.671,.689,172.6,8.0,19.2,13.9,8.5,15.1,1.9,5.9,22.0,-3.5,1.5,119.8,95.5,24.3,389.6,23.6,cluster_8
6200,Jalen McDaniels,SDSU,2018,0.642,.595,158.4,10.4,23.9,17.3,6.7,11.8,1.9,2.7,18.3,-2.0,1.6,129.4,93.0,36.4,346.4,22.2,cluster_8
6201,Anthony Randolph,LSU,2008,0.511,.467,126.3,9.5,18.7,14.2,8.5,16.3,2.0,6.7,28.0,-6.5,1.2,99.7,96.0,3.8,352.5,20.8,cluster_8
6202,Donte Greene,SYRA,2008,0.531,.505,147.0,5.4,15.8,10.8,10.6,13.5,2.0,4.8,24.9,-3.2,1.2,108.3,100.7,7.6,414.1,18.6,cluster_8
6203,Dedric Lawson,MEMP,2016,0.49,.440,146.8,10.0,19.6,14.8,16.9,16.4,2.0,5.1,27.7,-4.3,1.2,99.0,92.0,6.9,406.3,18.8,cluster_8
6204,Tyler Herro,UK,2019,0.58,.536,175.2,1.6,13.9,8.2,15.2,11.8,2.0,1.1,21.4,0.1,1.3,120.0,97.0,23.0,370.6,18.7,cluster_8
6205,Precious Achiuwa,MEMP,2020,0.534,.511,141.7,11.4,24.7,18.7,7.5,16.0,2.0,6.4,27.8,-6.8,1.3,101.2,81.6,19.6,414.4,23.9,cluster_8
6206,Jeremiah Robinson-Earl,VILL,2020,0.552,.496,159.6,9.2,23.3,16.4,11.2,18.7,2.0,1.7,18.8,-2.8,1.3,108.2,93.9,14.2,349.1,18.6,cluster_8
6207,Glen Davis,LSU,2005,0.571,.519,146.1,13.9,20.7,17.4,7.4,12.3,2.0,5.0,23.5,-3.2,1.5,119.4,100.2,19.2,363.0,22.6,cluster_8
6208,Bryant Dunston,FORD,2005,0.566,.529,156.8,10.6,20.3,15.4,11.7,15.0,2.0,7.0,24.1,-3.9,1.5,111.7,93.5,18.2,384.0,21.8,cluster_8
6209,Brandan Wright,UNC,2007,0.637,.646,121.3,8.9,15.7,12.5,6.7,12.1,2.0,6.3,22.0,-3.1,1.5,123.1,91.6,31.5,463.9,24.8,cluster_8
6210,Joshua LeBlanc,GTOWN,2019,0.661,.644,203.9,11.6,20.8,16.3,7.7,13.7,2.0,4.8,15.6,-1.7,1.7,129.1,99.5,29.6,355.1,21.1,cluster_8
6211,Bobby Portis,ARK,2014,0.562,.524,152.0,10.2,16.8,13.5,11.0,9.9,2.1,5.9,21.4,-0.8,1.3,119.2,94.6,24.6,398.8,22.0,cluster_8
6212,"Jabari Smith, Jr.",AUB,2022,0.57,.521,164.8,3.5,23.4,13.5,13.9,11.1,2.1,3.8,27.5,-1.7,1.3,116.5,89.8,26.7,433.3,25.9,cluster_8
6213,Trevor Booker,CLEM,2007,0.609,.602,121.8,13.2,15.2,14.2,7.6,18.8,2.1,8.7,19.8,-4.8,1.4,113.3,94.4,18.9,373.6,21.9,cluster_8
6214,Andrew Wiggins,KU,2014,0.563,.499,156.4,8.4,12.2,10.5,9.2,13.1,2.1,3.1,26.3,-3.7,1.4,116.0,101.6,14.4,370.1,20.2,cluster_8
6215,Jarace Walker,U of H,2023,0.534,.516,147.4,10.1,18.9,14.6,12.5,12.3,2.2,6.2,22.5,-1.0,1.2,114.4,85.2,29.2,379.3,22.5,cluster_8
6216,Blake Griffin,OKLA,2008,0.58,.568,115.7,13.7,24.2,19.0,16.6,15.4,2.2,3.4,27.8,-3.9,1.5,113.6,92.8,20.9,424.9,26.9,cluster_8
6217,Shawn James,NEU,2005,0.667,.649,167.9,11.2,19.5,15.6,5.5,13.5,2.2,18.4,17.3,-2.7,1.6,128.3,85.2,43.1,379.6,26.6,cluster_8
6218,Tyler Hansbrough,UNC,2006,0.626,.573,180.9,13.2,16.8,15.1,8.7,14.1,2.2,2.3,26.9,-5.1,1.7,123.4,93.3,30.1,439.1,26.6,cluster_8
6219,Tarkus Ferguson,UIC,2017,0.523,.478,152.2,1.6,15.2,8.8,28.9,23.3,2.3,1.7,20.3,0.1,1.2,100.2,100.9,-0.7,355.8,14.0,cluster_8
6220,Jonny Flynn,SYRA,2008,0.567,.526,158.2,2.0,6.0,4.1,26.8,16.4,2.3,0.5,21.5,2.1,1.3,116.1,106.7,9.4,382.3,17.9,cluster_8
6221,Kyle Hines,UNCG,2005,0.612,.621,115.8,11.1,17.3,14.4,4.9,21.1,2.3,10.7,19.7,-6.9,1.4,106.5,92.4,14.1,407.0,20.3,cluster_8
6222,C.J. McCollum,LEHI,2010,0.593,.541,169.0,5.1,12.4,8.8,17.1,11.0,2.3,0.7,28.4,-1.2,1.4,119.3,100.8,18.5,402.9,24.3,cluster_8
6223,Tyler Lydon,SYRA,2016,0.606,.572,165.8,6.6,16.4,11.6,7.6,13.2,2.3,7.0,16.5,-1.9,1.4,120.8,95.8,25.0,385.1,19.0,cluster_8
6224,Averyl Ugba,GRAMB,2017,0.592,.555,123.2,15.9,22.1,18.7,5.4,14.7,2.3,3.0,21.1,-4.8,1.5,118.4,100.3,18.1,379.9,23.5,cluster_8
6225,Zhaire Smith,TXTCH,2018,0.618,.588,172.2,9.5,11.1,10.4,12.5,10.8,2.3,4.8,18.2,0.3,1.5,128.9,94.2,34.6,396.6,21.5,cluster_8
6226,Onyeka Okongwu,USC,2020,0.645,.618,158.6,12.5,18.5,15.6,8.4,13.7,2.3,9.6,23.6,-4.2,1.6,123.1,89.0,34.2,438.4,31.2,cluster_8
6227,Melo Trimble,UMD,2015,0.628,.534,171.8,0.7,11.8,6.8,21.2,16.0,2.3,0.2,25.0,-1.3,1.7,120.7,97.8,22.9,360.8,21.6,cluster_8
6228,"Eric Williams, Jr.",DUQ,2018,0.524,.481,149.7,7.0,24.0,15.1,9.9,13.3,2.4,1.0,23.8,-3.2,1.2,108.2,99.3,8.8,354.1,18.3,cluster_8
6229,Markelle Fultz,UWASH,2017,0.558,.535,153.8,3.9,13.6,8.7,34.3,13.4,2.4,3.1,31.0,2.0,1.3,117.0,108.0,9.0,407.8,26.1,cluster_8
6230,Jared Dudley,BOS,2004,0.557,.496,150.7,10.8,12.1,11.5,17.1,15.6,2.4,0.7,19.7,-0.3,1.4,116.5,98.1,18.4,370.3,18.5,cluster_8
6231,Luc Mbah a Moute,UCLA,2006,0.586,.548,139.3,13.3,21.3,17.4,9.3,17.7,2.4,2.0,17.2,-2.8,1.4,116.9,88.6,28.3,396.0,19.0,cluster_8
6232,Derrick Rose,MEMP,2008,0.56,.517,152.6,5.0,11.6,8.3,30.4,16.7,2.4,1.3,26.1,1.6,1.4,115.2,90.7,24.5,453.4,22.6,cluster_8
6233,Keith Braxton,STFPA,2017,0.609,.573,173.6,7.1,20.8,14.2,17.4,18.9,2.4,1.2,19.4,-1.2,1.4,116.2,99.8,16.4,454.9,19.9,cluster_8
6234,Josh Okogie,GT,2017,0.549,.486,158.4,5.6,13.6,9.8,12.1,12.4,2.4,2.5,27.6,-3.2,1.4,107.7,95.8,11.9,361.1,19.7,cluster_8
6235,Braeden Smith,COLGT,2023,0.594,.542,166.8,1.3,13.8,7.8,22.6,17.0,2.4,0.2,19.7,3.0,1.4,116.3,102.4,13.9,359.1,18.7,cluster_8
6236,D.J. Augustin,TEXAS,2007,0.588,.515,172.8,1.8,6.6,4.2,34.3,21.2,2.4,0.2,21.0,3.1,1.5,117.8,104.9,13.0,391.6,18.7,cluster_8
6237,Jonathan Isaac,FLAST,2017,0.614,.568,163.6,7.6,25.6,16.8,7.7,13.3,2.4,6.2,20.3,-2.7,1.5,122.4,95.1,27.2,389.0,23.4,cluster_8
6238,Tanner Holden,WRST,2020,0.642,.642,164.4,8.5,15.0,11.9,10.0,14.3,2.4,1.2,17.6,-1.6,1.7,125.1,94.3,30.8,351.0,22.8,cluster_8
6239,Raymond Felton,UNC,2003,0.519,.489,144.9,2.8,11.0,6.9,36.6,23.1,2.5,0.7,22.2,2.1,1.2,102.1,100.6,1.6,361.5,15.0,cluster_8
6240,Seth Curry,LBRTY,2009,0.543,.504,159.6,2.4,11.2,7.1,14.1,10.8,2.5,0.9,29.5,-2.2,1.2,110.7,100.4,10.3,367.4,21.8,cluster_8
6241,Luol Deng,DUKE,2004,0.55,.520,154.6,8.4,15.2,11.9,11.8,14.1,2.5,3.1,24.8,-3.2,1.3,112.7,92.1,20.6,409.5,20.8,cluster_8
6242,O.J. Mayo,USC,2008,0.562,.524,165.4,3.8,10.4,7.4,21.4,16.1,2.5,1.1,31.8,-3.7,1.3,108.1,96.6,11.6,362.3,21.7,cluster_8
6243,Gary Clark,CINCY,2015,0.543,.524,114.9,13.3,19.0,16.3,13.9,13.5,2.5,5.5,16.9,0.0,1.3,117.6,87.8,29.8,360.5,21.4,cluster_8
6244,Kevon Looney,UCLA,2015,0.532,.505,151.1,12.3,21.0,16.6,9.1,10.3,2.5,3.3,19.7,-1.0,1.3,116.3,96.1,20.2,430.9,20.7,cluster_8
6245,Gradey Dick,KU,2023,0.581,.547,169.8,4.2,14.3,9.4,9.3,9.4,2.5,0.8,20.5,-0.4,1.3,116.7,97.1,19.6,364.9,18.8,cluster_8
6246,C.J. Anderson,MAN,2005,0.54,.524,109.5,10.5,17.1,13.8,17.5,12.8,2.5,3.7,24.9,-0.9,1.4,112.8,98.0,14.7,384.3,21.9,cluster_8
6247,Jonathan Rodriguez,CAM,2007,0.544,.494,146.6,8.6,20.5,14.8,19.5,14.3,2.5,3.6,25.8,-1.7,1.4,111.1,98.9,12.1,440.9,22.7,cluster_8
6248,Bradley Beal,FLA,2012,0.575,.525,155.3,4.7,18.3,11.6,12.7,14.3,2.5,2.6,22.9,-2.0,1.4,115.4,95.5,19.9,433.6,21.6,cluster_8
6249,Maurice Harkless,STJ,2012,0.504,.472,134.3,8.4,18.2,13.3,9.6,14.0,2.6,4.2,24.9,-4.3,1.2,102.1,100.3,1.9,379.6,20.2,cluster_8
