,Player,Team,Season,TSPERCENT,EFGPERCENT,TOTALS%,ORBPERCENT,DRBPERCENT,TRBPERCENT,ASTPERCENT,TOVPERCENT,STLPERCENT,BLKPERCENT,USGPERCENT,PPR,PPS,ORTG,DRTG,EDIFF,FIC,PER,cluster
6277,William Mosley,NSU,2009,0.591,.672,103.0,12.5,23.6,17.9,4.8,12.3,3.0,11.2,10.6,-1.2,1.6,119.5,93.5,26.0,365.1,20.9,cluster_8
6278,Langston Galloway,STJOE,2011,0.548,.496,167.8,4.7,14.3,9.5,19.0,9.4,3.1,1.7,20.4,2.2,1.2,117.2,105.4,11.7,368.4,19.9,cluster_8
6279,Josh Jackson,KU,2017,0.559,.552,145.7,8.7,17.4,13.3,18.0,15.9,3.1,3.5,27.2,-2.5,1.3,111.1,95.1,16.0,450.1,22.9,cluster_8
6280,Paul George,FRSNO,2009,0.586,.559,161.4,6.4,14.7,10.6,12.2,16.0,3.1,3.0,22.0,-3.2,1.4,110.5,99.1,11.4,378.5,19.8,cluster_8
6281,Brian Voelkel,UVM,2011,0.498,.420,131.5,10.8,24.5,17.9,27.1,22.1,3.1,0.9,15.4,3.3,1.4,111.1,87.0,24.1,416.8,19.6,cluster_8
6282,Dennis Smith,NCST,2017,0.563,.520,152.9,2.7,11.5,7.3,34.2,17.3,3.1,1.2,27.2,2.0,1.4,112.3,108.0,4.3,437.5,21.9,cluster_8
6283,R.J. Hunter,GAST,2013,0.57,.530,158.0,3.6,15.4,9.4,13.1,10.1,3.2,3.2,26.8,-1.4,1.3,115.6,100.7,14.9,361.5,24.2,cluster_8
6284,Stanley Johnson,ARZ,2015,0.551,.501,155.8,8.9,19.1,14.2,11.6,14.7,3.2,1.6,26.6,-3.6,1.3,111.1,86.6,24.5,370.8,21.4,cluster_8
6285,Haminn Quaintance,JAC,2004,0.559,.537,140.2,12.1,19.9,16.1,19.0,22.7,3.3,10.1,24.8,-6.0,1.3,102.6,94.6,8.0,400.8,23.0,cluster_8
6286,Shamorie Ponds,STJ,2017,0.571,.525,163.7,3.7,10.8,7.2,19.0,11.0,3.3,0.7,24.2,0.5,1.3,116.5,105.6,10.8,399.9,20.9,cluster_8
6287,Ty Lawson,UNC,2007,0.581,.555,154.4,3.2,9.1,6.3,34.6,19.9,3.3,0.4,19.5,5.5,1.4,119.0,94.0,25.0,373.4,19.8,cluster_8
6288,Kyle Anderson,UCLA,2013,0.485,.430,136.2,7.9,22.9,15.7,20.8,17.3,3.4,2.8,20.0,0.8,1.2,102.5,90.6,11.9,425.4,19.3,cluster_8
6289,Anthony Black,ARK,2023,0.549,.495,145.9,4.6,13.5,9.1,20.9,20.6,3.4,1.9,21.3,-1.2,1.4,104.8,95.1,9.6,371.3,17.9,cluster_8
6290,Jordan Fouse,UWGB,2013,0.503,.478,117.5,11.0,21.9,16.6,14.2,19.6,3.5,5.8,15.3,-1.1,1.2,103.6,90.1,13.5,357.3,17.7,cluster_8
6291,Tremont Waters,LSU,2018,0.556,.506,156.9,1.1,10.8,6.1,33.9,17.0,3.5,0.3,26.6,3.2,1.3,112.7,106.1,6.5,387.8,20.5,cluster_8
6292,Stephen Curry,DAV,2007,0.617,.579,172.6,3.3,13.0,8.2,18.8,13.8,3.5,0.7,30.0,-2.9,1.4,121.2,91.6,29.6,433.6,26.9,cluster_8
6293,Jalen Suggs,ZAGS,2021,0.596,.560,160.1,2.7,18.0,11.0,23.9,19.6,3.5,1.1,24.8,0.3,1.4,112.8,90.8,22.0,358.1,23.5,cluster_8
6294,Marcus Evans,RICE,2016,0.587,.527,158.0,3.1,10.9,7.0,20.0,14.6,3.6,0.6,31.8,-3.6,1.4,111.7,109.7,2.1,366.4,23.3,cluster_8
6295,Javon McCrea,BUFF,2011,0.612,.631,113.9,17.2,19.0,18.2,19.0,17.9,3.6,8.7,27.5,-4.6,1.5,114.9,87.8,27.1,391.8,30.9,cluster_8
6296,Andre Roberson,COLO,2011,0.609,.615,147.6,15.3,25.8,20.7,6.8,17.3,3.6,5.2,14.9,-2.5,1.5,122.1,93.8,28.3,372.3,21.5,cluster_8
6297,Greg Monroe,GTOWN,2009,0.61,.574,160.3,8.7,16.9,13.1,18.8,19.3,3.7,5.1,22.5,-2.6,1.6,114.5,91.6,22.9,381.8,23.5,cluster_8
6298,Tyler Ennis,SYRA,2014,0.511,.453,152.9,2.6,9.1,5.8,32.3,11.9,3.9,0.7,21.9,6.1,1.2,117.5,97.7,19.8,378.6,20.3,cluster_8
6299,DeJuan Blair,PITT,2008,0.559,.537,116.1,16.5,23.0,19.7,7.3,15.6,3.9,4.6,23.4,-5.0,1.4,112.9,88.3,24.6,439.6,25.3,cluster_8
6300,De'Anthony Melton,USC,2017,0.53,.483,142.7,6.0,13.7,9.9,22.5,18.5,4.0,3.9,17.7,2.0,1.3,110.8,99.2,11.6,352.4,18.1,cluster_8
6301,Rodney Stuckey,EWASH,2006,0.588,.544,162.2,4.1,13.8,9.0,30.7,14.8,4.0,0.8,36.4,-2.5,1.4,114.9,101.6,13.3,427.6,28.8,cluster_8
6302,Ethan Happ,UWISC,2016,0.567,.538,118.1,10.5,23.8,17.0,10.9,16.6,4.0,3.5,24.9,-5.2,1.4,109.4,89.8,19.6,384.3,23.7,cluster_8
6303,Kennedy Chandler,TENN,2022,0.539,.527,145.3,2.5,9.7,6.0,32.1,16.2,4.1,0.9,25.0,2.1,1.2,108.1,90.8,17.3,353.6,20.8,cluster_8
6304,James Harden,ASU,2008,0.632,.586,168.9,5.4,14.6,10.3,24.7,15.7,4.1,2.2,28.4,-1.5,1.6,120.0,95.2,24.8,464.3,27.3,cluster_8
6305,Tyreke Evans,MEMP,2009,0.529,.489,144.1,4.9,15.1,10.1,29.4,18.2,4.2,2.7,32.8,-3.4,1.3,103.9,82.8,21.2,412.3,24.1,cluster_8
6306,Chris Paul,WF,2004,0.649,.574,180.8,2.2,8.5,5.4,30.9,18.8,4.4,1.2,19.7,3.6,1.7,128.9,101.1,27.9,428.3,24.3,cluster_8
6307,Marcus Smart,OKST,2013,0.532,.455,147.1,5.3,14.2,9.9,26.8,18.9,5.3,2.2,27.2,-1.6,1.4,105.4,85.2,20.1,405.4,22.8,cluster_8
6308,T.J. McConnell,DUQ,2011,0.586,.572,158.4,2.6,11.2,6.9,26.6,16.0,5.4,0.6,17.1,3.6,1.3,118.3,89.4,28.9,371.3,19.8,cluster_8
6309,Blake Harper,HWRD,2025,0.584,.497,167.4,3.9,18.7,11.6,20.1,14.0,1.6,0.1,27.6,-1.1,1.5,117.3,109.4,7.8,370.1,20.6,cluster_8
6310,Asa Newell,UGA,2025,0.609,.577,158.1,14.9,14.3,14.6,6.9,7.7,2.1,4.1,23.5,-1.5,1.4,131.4,100.3,31.2,376.4,26.3,cluster_8
6311,Derik Queen,UMD,2025,0.585,.529,136.7,9.9,26.7,18.6,12.1,15.2,2.1,3.7,26.1,-3.6,1.5,115.6,90.3,25.2,421.3,24.6,cluster_8
6312,Adrian Wooley,KENN,2025,0.636,.602,168.5,4.7,13.6,9.2,22.9,18.6,2.4,0.3,25.5,-2.8,1.5,117.8,100.9,16.9,376.6,21.7,cluster_8
6313,Dylan Harper,RUTG,2025,0.594,.557,158.4,3.0,14.1,8.5,26.9,12.5,2.5,1.6,28.6,1.1,1.4,119.8,108.9,10.9,351.8,25.3,cluster_8
6314,Thomas Sorber,GTOWN,2025,0.58,.544,141.8,10.6,23.0,16.8,15.5,15.3,2.7,7.4,23.7,-2.1,1.4,114.8,90.9,23.9,350.9,25.0,cluster_8
6315,V.J. Edgecombe,BAYL,2025,0.556,.511,157.5,7.4,14.1,10.7,19.7,13.1,3.9,2.3,24.2,0.5,1.3,118.3,98.2,20.1,348.3,22.4,cluster_8
