,Player,Season,MPG,PPG,FGM,FGA,FGPercent,3PM,3PA,3PPercent,FTM,FTA,FTPercent,ORB,DRB,RPG,APG,SPG,BPG,TOV,cluster
6881,Kam Gibson,2019,30.8,13.6,5,10.8,0.458,2.4,6,0.404,1.2,1.8,0.684,0.4,1.7,2.1,1.9,0.5,0.2,2.2,cluster_8
6882,Ronell Wooten,2006,33.3,15.5,5.8,13,0.441,2.5,7.1,0.352,1.5,2.6,0.583,2.5,3.8,6.4,0.9,1,0.2,1.1,cluster_8
6883,Gerald McLemore,2009,30.1,12.1,4.2,11.1,0.383,2.5,6.9,0.356,1.1,1.4,0.791,0.4,2.1,2.5,1.1,1.3,0.2,1.7,cluster_8
6884,Preston Parks,2017,27.1,17.5,6,14.7,0.406,2.5,7.5,0.329,3.1,3.7,0.828,1,2,3,3.7,1.9,0.2,2.5,cluster_8
6885,Kevin Foster,2009,30.3,14.7,4.9,12,0.412,2.6,7,0.366,2.3,2.9,0.781,0.4,2,2.4,2.5,1.3,0.2,2.8,cluster_8
6886,J.C. Hampton,2014,31.4,14.5,4.5,11.1,0.407,2.7,7.1,0.387,2.7,3.6,0.752,0.2,2.8,3.1,2.9,1,0.2,2.4,cluster_8
6887,Jaden Shackelford,2020,29.4,15,4.8,11.5,0.413,2.7,7.6,0.357,2.8,3.6,0.768,1.3,3.2,4.5,1.4,0.5,0.2,1.5,cluster_8
6888,Wesley Jenkins,2008,29.8,13,4.6,11.7,0.391,2.8,6.6,0.417,1.1,1.7,0.646,0.5,2.7,3.2,0.9,1.5,0.2,2.1,cluster_8
6889,Max Abmas,2020,29.5,14.5,5.1,12.4,0.411,2.8,7.7,0.366,1.5,1.8,0.818,0.4,1.8,2.2,1.4,1,0.2,1,cluster_8
6890,Ryan Allen,2018,35.7,15.3,5.4,13.4,0.406,2.9,7.4,0.389,1.6,2.2,0.723,0.3,2.2,2.5,1.5,0.5,0.2,1.6,cluster_8
6891,Jason Roche,2022,36.1,13.2,4,10,0.401,3.5,8.9,0.397,1.6,1.8,0.909,0.7,3.2,4,0.7,0.7,0.2,1,cluster_8
6892,Tyler Smith,2007,33.7,14.9,5.6,12.7,0.442,0.5,2.2,0.254,3.1,4.3,0.727,2.2,2.8,4.9,3.6,1.5,0.3,3,cluster_8
6893,Giovanni St. Amant,2003,35.1,13.6,5,11.7,0.426,0.9,2.3,0.397,2.7,3.3,0.82,0.7,2.4,3.1,2.5,0.7,0.3,2.6,cluster_8
6894,Malik Hairston,2005,30.7,13.1,5.4,10.6,0.509,0.9,2.6,0.333,1.6,3.3,0.472,1.7,3.3,5,1.9,0.6,0.3,2.1,cluster_8
6895,Sundiata Gaines,2005,34.4,12,4.1,11,0.376,0.9,3.4,0.269,2.8,5.1,0.54,1.6,3.4,4.9,2.9,2.4,0.3,2.8,cluster_8
6896,Lawrence Alexander,2012,34.5,12.8,4.5,9.8,0.455,0.9,2.7,0.318,3.1,4.6,0.664,0.5,3.4,4,4.6,1.2,0.3,3.1,cluster_8
6897,Tony Carr,2017,32.8,13.2,4.3,11.3,0.377,1,3.1,0.32,3.7,4.8,0.771,0.7,4.1,4.8,4.2,0.7,0.3,2.6,cluster_8
6898,Jaylen Nowell,2018,32.5,16,6,13.2,0.451,1.1,3.3,0.351,2.9,3.7,0.8,1,3,4,2.7,1.1,0.3,2.5,cluster_8
6899,Nendah Tarke,2022,34,13.3,4.4,11.1,0.396,1.1,4.1,0.275,3.3,5.3,0.626,0.9,5.8,6.8,2.7,2.9,0.3,2.9,cluster_8
6900,De'Sean Allen-Eikens,2020,29.6,13.8,4.9,10.5,0.47,1.2,3.8,0.32,2.7,3.7,0.744,2,2.8,4.8,1.1,0.6,0.3,2.2,cluster_8
6901,Jalen Suggs,2021,28.9,14.4,5.2,10.3,0.503,1.2,3.5,0.337,2.9,3.8,0.761,0.6,4.7,5.3,4.5,1.9,0.3,2.9,cluster_8
6902,Malaki Branham,2022,29.5,13.7,5,10,0.498,1.2,2.8,0.416,2.5,3,0.833,0.8,2.8,3.6,2,0.8,0.3,1.7,cluster_8
6903,Kyrell Luc,2022,32.2,13,4.7,11.9,0.392,1.2,3.5,0.355,2.4,3.1,0.773,0.4,3.3,3.6,2.4,1.5,0.3,2.7,cluster_8
6904,Jalen Hood-Schifino,2023,33.1,13.5,5.3,12.6,0.417,1.2,3.5,0.333,1.8,2.4,0.776,0.4,3.7,4.1,3.7,0.8,0.3,2.8,cluster_8
6905,Deonte Burton,2011,29.6,13.7,4,9.5,0.422,1.3,3.8,0.355,4.3,5.8,0.746,0.3,1.9,2.3,3.5,1.3,0.3,2.2,cluster_8
6906,Nigel Hawkins,2019,33.9,12.6,3.9,11.3,0.34,1.3,4.7,0.276,3.6,4.5,0.795,1,3.6,4.5,1.7,0.9,0.3,3.1,cluster_8
6907,Kevin Knox II,2018,32.4,15.6,5.3,11.9,0.445,1.5,4.5,0.341,3.4,4.4,0.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,cluster_8
6908,Andre Heard,2005,35.6,14.3,4.9,14,0.35,1.6,5.6,0.288,2.9,3.9,0.728,1.1,3.4,4.5,2.6,2,0.3,2.2,cluster_8
6909,Aaron Harrison,2014,32.6,13.7,4.4,10.3,0.423,1.6,4.4,0.356,3.5,4.4,0.79,0.6,2.3,3,1.9,1.1,0.3,1.6,cluster_8
6910,Justin Turner,2018,33.9,15.9,5.5,13.4,0.406,1.6,4.3,0.379,3.4,4.1,0.813,0.8,2.8,3.6,2.6,1.5,0.3,2.4,cluster_8
6911,Tyler Herro,2019,32.6,14,5,10.9,0.462,1.6,4.6,0.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,cluster_8
6912,Ayo Dosunmu,2019,31.2,13.8,5.1,11.7,0.436,1.6,4.4,0.352,2.1,3,0.695,0.7,3.3,4,3.3,1.3,0.3,2.3,cluster_8
6913,"Kira Lewis, Jr.",2019,31.6,13.5,4.6,10.7,0.431,1.6,4.4,0.358,2.6,3.4,0.783,0.4,2.2,2.6,2.9,0.8,0.3,2.2,cluster_8
6914,Jahmir Young,2020,32.3,12.5,4.1,9.6,0.426,1.6,4.3,0.373,2.7,3.7,0.738,0.6,4.7,5.2,2.8,1.6,0.3,1.9,cluster_8
6915,Erik Reynolds II,2022,32.1,12.1,4.3,10.4,0.417,1.7,5,0.336,1.7,2.1,0.839,0.3,1.8,2.1,2.3,0.8,0.3,2.1,cluster_8
6916,D.J. Cooper,2010,35.5,13.5,4.2,11.3,0.374,1.8,5.5,0.319,3.3,4.3,0.766,1.8,3.5,5.4,5.9,2.5,0.3,2.7,cluster_8
6917,Stefan Moody,2013,31.4,15.7,5.2,12.4,0.421,1.8,5.1,0.354,3.5,4.3,0.815,0.7,3.5,4.2,2.2,0.7,0.3,3.1,cluster_8
6918,Koby McEwen,2017,30.9,14.7,4.4,9.5,0.462,1.8,4.4,0.418,4.1,5.7,0.724,0.5,4.6,5.1,3.1,0.8,0.3,2.7,cluster_8
6919,Bryan Hopkins,2003,31.6,13.6,4.2,11.6,0.359,1.9,5.8,0.335,3.3,4.3,0.767,0.5,2.7,3.1,3.9,2.1,0.3,4.1,cluster_8
6920,Nisre Zouzoua,2016,30.3,12.8,4.2,10.4,0.408,1.9,5.2,0.37,2.4,2.9,0.843,0.6,2.5,3.2,1.4,0.8,0.3,1.5,cluster_8
6921,John-Michael Wright,2020,32.4,14.2,4.8,12.3,0.39,1.9,5.7,0.331,2.8,3.6,0.759,1.4,3.9,5.3,2.3,1.1,0.3,1.6,cluster_8
6922,Raymond Felton,2003,35.4,12.9,4.3,10.8,0.398,2,5.5,0.358,2.3,3.3,0.693,0.8,3.3,4.1,6.7,1.6,0.3,3.7,cluster_8
6923,Terrico White,2009,30,13.7,5.1,11.8,0.428,2,5.6,0.354,1.6,2.5,0.628,0.8,2.6,3.4,2.3,0.8,0.3,1.8,cluster_8
6924,Kentavious Caldwell-Pope,2012,32.2,13.2,4.8,12,0.396,2,6.7,0.304,1.7,2.5,0.654,1.4,3.8,5.2,1.2,1.8,0.3,1.1,cluster_8
6925,Nate Calmese,2023,31.5,17.6,6.5,13.6,0.481,2,5.4,0.367,2.6,3.4,0.755,0.7,1.8,2.5,2,1.2,0.3,2.4,cluster_8
6926,Kevin Criswell,2003,29.5,15.1,4.8,12.3,0.391,2.1,6,0.344,3.4,4.2,0.803,1.6,2.9,4.4,1.4,1.1,0.3,1.6,cluster_8
6927,Malachi Richardson,2016,34.4,13.4,4.1,11.1,0.369,2.1,6.1,0.353,3.1,4.2,0.72,0.5,3.8,4.3,2.1,1.2,0.3,2.1,cluster_8
6928,"Eric Williams, Jr.",2018,33.7,14.3,4.6,11.7,0.392,2.1,5.8,0.364,3,4.1,0.74,2.1,6.6,8.8,1.6,1.3,0.3,2.1,cluster_8
6929,Landers Nolley II,2020,30.2,15.5,5.3,14.4,0.37,2.1,6.7,0.316,2.7,3.4,0.78,0.8,5,5.8,2.4,0.8,0.3,2.7,cluster_8
6930,Darnell Harris,2005,36,11.3,3.8,10.6,0.357,2.2,7.2,0.31,1.4,1.8,0.808,0.2,2.9,3.1,1,0.8,0.3,1.2,cluster_8
6931,Nick Barbour,2009,27.7,14.2,4.8,12.3,0.389,2.2,6.2,0.348,2.5,3.3,0.74,0.9,2,2.9,1.1,1,0.3,2.4,cluster_8
6932,Chris Hansen,2013,32.1,11.4,3.5,9.5,0.364,2.3,6.2,0.371,2.2,2.7,0.813,0.6,3,3.5,1.1,1.3,0.3,1,cluster_8
6933,Coby White,2019,28.5,16.1,5.4,12.7,0.423,2.3,6.6,0.353,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,cluster_8
6934,Gradey Dick,2023,32.8,14.1,4.8,10.9,0.442,2.3,5.7,0.403,2.1,2.5,0.854,1.1,4,5.1,1.7,1.4,0.3,1.3,cluster_8
6935,Daniel Gibson,2005,32.8,14.2,4.2,10.1,0.417,2.4,6,0.398,3.3,4.4,0.752,0.5,3.2,3.6,3.9,1.8,0.3,3.1,cluster_8
6936,Ian Clark,2010,29.6,14.9,5.3,11.6,0.453,2.4,5.9,0.402,2,2.6,0.775,0.7,2.6,3.3,2.2,1.1,0.3,3,cluster_8
6937,Kelly Golob,2003,32.8,14.1,4.8,10.4,0.466,2.8,6.5,0.431,1.6,1.9,0.885,1.8,4,5.7,2.3,0.7,0.3,2.3,cluster_8
6938,Jake Thomas,2010,32.6,13.3,3.8,8.9,0.421,2.8,6.3,0.441,3,3.6,0.828,0.5,3.5,4,2.2,1,0.3,1.8,cluster_8
6939,Carl Pierre,2018,31.2,12.4,4.3,9.6,0.443,2.8,5.9,0.472,1.1,1.3,0.818,0.3,1.9,2.2,1.1,0.6,0.3,1,cluster_8
6940,Adam Flagler,2019,30.7,15.9,5.4,12.4,0.438,3,7.8,0.386,2,2.4,0.835,0.8,2.6,3.4,1.3,0.8,0.3,1.2,cluster_8
6941,Ryan Wittman,2007,35.4,15.6,5.1,11.8,0.438,3.3,7.7,0.431,2,2.2,0.887,0.4,2.4,2.8,1.3,1,0.3,1.5,cluster_8
6942,Ja Morant,2018,34,12.7,4.2,9.1,0.459,0.8,2.8,0.307,3.5,4.3,0.806,1.7,4.8,6.5,6.3,0.9,0.4,2.5,cluster_8
6943,Derrick Rose,2008,29.2,14.9,5.2,10.9,0.477,0.9,2.6,0.337,3.7,5.1,0.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,cluster_8
6944,McKinley Wright IV,2018,32.6,14.2,5.2,11.5,0.451,0.9,2.9,0.304,2.9,3.8,0.77,1.6,3,4.7,5.5,1,0.4,2.9,cluster_8
6945,Alex Acker,2003,33.3,13,4.6,9.6,0.476,1,2.4,0.426,2.8,3.5,0.814,1.5,3.5,5,3.1,1.6,0.4,2.7,cluster_8
6946,Nijal Pearson,2017,32.8,13.3,4.6,10.6,0.437,1,3,0.346,2.9,4.1,0.721,1.9,3.8,5.7,2.4,1.4,0.4,2.2,cluster_8
6947,Tyrese Maxey,2020,34.5,14,4.8,11.3,0.427,1.1,3.6,0.292,3.2,3.9,0.833,0.4,3.9,4.3,3.2,0.9,0.4,2.2,cluster_8
6948,Chris Paul,2004,33.6,14.8,4.4,8.7,0.5,1.3,2.8,0.465,4.8,5.7,0.843,0.7,2.6,3.3,5.9,2.7,0.4,2.6,cluster_8
6949,Dominic James,2006,32.5,15.3,5.6,13,0.431,1.3,4.4,0.301,2.7,4.2,0.641,0.8,3.7,4.5,5.4,1.6,0.4,2.8,cluster_8
6950,Thaddeus Young,2007,29.6,14.4,5.7,11.9,0.478,1.3,3,0.419,1.7,2.3,0.743,2.3,2.5,4.9,2,1.3,0.4,2.2,cluster_8
6951,Jerome Dyson,2007,30.4,13.8,4.2,11.7,0.361,1.4,4.4,0.326,4,5.5,0.719,1.2,2.5,3.6,2.1,1.9,0.4,2.1,cluster_8
6952,Jordan Adams,2013,30.2,15.3,5,11.2,0.447,1.4,4.5,0.307,3.9,4.6,0.843,0.6,3.2,3.8,1.8,2.2,0.4,1.2,cluster_8
6953,Chase Budinger,2007,33,15.6,5.7,11.7,0.485,1.6,4.4,0.368,2.6,3.1,0.845,1.8,4,5.8,2,1.1,0.4,1.6,cluster_8
6954,Bryan Cohen,2009,33.5,11.8,4.2,11.4,0.365,1.7,5.2,0.327,1.7,2.6,0.658,1,3.1,4.1,1.9,0.7,0.4,2.3,cluster_8
6955,Trey Burke,2012,36.1,14.8,5.2,12,0.433,1.7,4.8,0.348,2.7,3.7,0.744,0.6,2.8,3.5,4.6,0.9,0.4,2.8,cluster_8
6956,Eric Paschall,2015,31.2,15.9,5.6,13.3,0.419,1.7,5.3,0.315,3.1,4,0.794,1.7,3.8,5.5,1,0.8,0.4,2.8,cluster_8
6957,Marcus Domask,2020,34.8,13.6,4.7,10,0.469,1.7,4.3,0.397,2.5,3,0.825,1,4.2,5.2,2.5,0.9,0.4,2,cluster_8
6958,Harrison Barnes,2011,29.4,15.7,5.6,13.4,0.421,1.8,5.3,0.344,2.6,3.4,0.754,2,3.8,5.8,1.4,0.7,0.4,1.9,cluster_8
6959,E'Twaun Moore,2008,30.6,12.9,4.7,10.6,0.443,1.9,4.5,0.434,1.6,2.2,0.716,0.9,3,3.9,2.6,0.9,0.4,1.7,cluster_8
6960,Latif Rivers,2011,32.7,13.9,4,11,0.362,1.9,5.4,0.346,4.1,4.6,0.891,0.3,2.8,3.1,2.9,0.7,0.4,3.3,cluster_8
6961,C.J. Williams,2017,30,15.6,5.3,13.3,0.396,1.9,5.7,0.342,3.1,4.1,0.759,1,1.6,2.6,0.6,0.6,0.4,1.7,cluster_8
6962,Will Rayman,2017,29.4,14.6,4.8,10.8,0.444,2,5.1,0.396,2.9,4.3,0.691,1.4,3.2,4.6,1,0.7,0.4,2.2,cluster_8
6963,Patrick Beverley,2007,34.4,13.9,4.3,10,0.427,2.1,5.4,0.386,3.2,3.9,0.812,1.1,3.3,4.5,3.1,1.7,0.4,2,cluster_8
6964,Darius Garland,2019,27.8,16.2,5.8,10.8,0.537,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3,cluster_8
6965,Torrey Craig,2011,30.5,14.4,5.2,13.6,0.38,2.3,7.1,0.318,1.8,2.6,0.679,2.3,4.9,7.2,1.5,1,0.4,2.8,cluster_8
6966,Daniel Horton,2003,36.1,15.2,5,13.5,0.372,2.5,7.2,0.343,2.7,3.5,0.764,0.5,1.8,2.3,4.5,1.4,0.4,3.7,cluster_8
6967,Alijah Martin,2022,29.2,13.9,4.8,10.4,0.458,2.5,6.4,0.4,1.8,2.5,0.753,1.1,4.2,5.3,1.5,1.6,0.4,1.7,cluster_8
6968,Jamison Battle,2020,35.3,11.8,3.8,9.6,0.399,2.8,7.6,0.366,1.4,1.6,0.846,0.4,4.8,5.2,0.6,0.4,0.4,1.1,cluster_8
6969,Jordan Allen,2018,28.4,13.5,4.5,11.6,0.384,2.9,7.5,0.385,1.7,2,0.831,0.8,2.7,3.5,0.7,0.8,0.4,1.3,cluster_8
6970,Archie Goodwin,2013,31.8,14.1,4.8,10.8,0.44,0.5,1.9,0.266,4.1,6.4,0.637,1.5,3.2,4.6,2.7,1.1,0.5,3.1,cluster_8
6971,Shai Gilgeous-Alexander,2018,33.7,14.4,4.9,10.2,0.485,0.6,1.5,0.404,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,cluster_8
6972,Charles Jenkins,2008,34.6,15,5.5,11.7,0.471,0.7,2.1,0.328,3.3,4.2,0.78,1.6,3,4.6,2.1,1.7,0.5,3.3,cluster_8
6973,Camren Hunter,2022,32.5,14.1,5.2,11.6,0.447,0.8,3.3,0.25,2.9,3.6,0.815,1.9,3,4.9,3.4,1.5,0.5,2.9,cluster_8
6974,Jamont Gordon,2006,33,13.8,4.6,11.4,0.408,0.9,3.5,0.26,3.6,5.6,0.647,1.6,5.1,6.8,4.3,1.1,0.5,4.7,cluster_8
6975,Harouna Mutombo,2009,30.5,14.4,5.4,11.6,0.465,0.9,3,0.312,2.7,4.4,0.622,1.8,2.8,4.6,2.2,1.8,0.5,2.1,cluster_8
6976,Jeff Teague,2008,29.7,13.9,4.5,10.4,0.434,1.1,2.7,0.395,3.8,4.7,0.803,0.5,2.2,2.7,2.5,1.8,0.5,2.5,cluster_8
6977,Will Barton,2011,30.6,12.3,4.8,11.1,0.428,1.1,4.2,0.265,1.7,2.4,0.699,1.4,3.5,4.9,2.8,1.5,0.5,2.5,cluster_8
6978,Justice Sueing,2018,32,13.8,4.9,11.3,0.434,1.3,4.2,0.311,2.7,4,0.672,1.5,3.9,5.4,1.4,1.5,0.5,2.1,cluster_8
6979,Ignas Brazdeikis,2019,29.6,14.8,5.1,11,0.462,1.5,3.9,0.392,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,cluster_8
6980,Kris Wilkes,2018,29.8,13.7,4.8,11,0.441,1.7,4.8,0.352,2.3,3.5,0.655,1.3,3.6,4.9,1.7,0.8,0.5,1.3,cluster_8
6981,Courtney Lee,2005,33.2,14.9,5.7,12.6,0.45,1.8,4.6,0.399,1.7,2.3,0.722,1.9,3.3,5.2,2,1.8,0.5,2.3,cluster_8
6982,J.D. Notae,2018,31.4,15.4,5.7,13.9,0.41,1.8,4.3,0.405,2.3,3.3,0.699,1,3.7,4.7,1.9,1.8,0.5,2.6,cluster_8
6983,Larry Blair,2004,30.5,13.2,4.9,12.8,0.385,1.9,5.9,0.325,1.5,2.1,0.714,0.8,1.9,2.7,2,1.6,0.5,2.3,cluster_8
6984,James Anderson,2008,30.9,13.3,4.5,10.3,0.435,2,5.4,0.379,2.3,3.2,0.714,1.7,2,3.7,1.1,0.8,0.5,2,cluster_8
6985,Allen Crabbe,2011,33.8,13.4,4.5,10.1,0.446,2,5,0.4,2.4,3,0.804,0.6,4.7,5.3,2,0.9,0.5,1.5,cluster_8
6986,Langston Galloway,2011,34.3,12.8,4.1,10.2,0.399,2,5,0.392,2.6,2.9,0.887,1.4,4.2,5.5,2.9,1.7,0.5,1.2,cluster_8
6987,Rashad McCants,2003,29.9,17,6.2,12.5,0.493,2.1,5,0.414,2.6,3.8,0.697,1.9,3,4.9,1.5,1.4,0.5,2.3,cluster_8
6988,Chris Youngblood,2021,32.4,12.4,4.4,11,0.396,2.1,6.3,0.331,1.5,1.8,0.841,0.4,2.9,3.3,1.8,0.8,0.5,1.7,cluster_8
6989,Ledarrius Brewer,2018,29.4,14.5,4.9,11.7,0.42,2.3,6.3,0.362,2.4,3.2,0.74,0.5,3.4,3.8,1.3,0.9,0.5,1.8,cluster_8
6990,Jordan Gainey,2022,31.5,13.8,4.6,9.7,0.471,2.3,4.7,0.493,2.4,2.9,0.817,0.3,3.5,3.8,2.2,1.2,0.5,2,cluster_8
6991,Terquavion Smith,2022,31.6,16.3,5.7,14.3,0.398,3,8.1,0.369,1.9,2.7,0.698,0.9,3.2,4.1,2.1,1.3,0.5,1.7,cluster_8
6992,Justin Edwards,2012,31.2,13.9,5.1,12.1,0.425,0.6,2.2,0.262,3,4,0.757,2,3.6,5.6,3.3,1.4,0.6,3,cluster_8
6993,Anthony Black,2023,34.3,12.8,4.1,9.1,0.453,0.8,2.6,0.301,3.7,5.3,0.705,1.3,3.8,5.1,3.9,2.1,0.6,3,cluster_8
6994,Sindarius Thornwell,2014,29.6,13.4,4.2,10.9,0.386,1.1,2.9,0.37,3.9,5.2,0.736,1.4,2.7,4.1,3,1.2,0.6,3.1,cluster_8
6995,Robert Mitchell,2007,26.8,16.4,6.1,13.6,0.451,1.6,3.9,0.4,2.5,3.4,0.729,2.3,3.1,5.4,1.4,0.8,0.6,1.8,cluster_8
6996,C.J. Elleby,2019,31,14.7,5.3,12,0.436,1.7,4,0.414,2.6,3.9,0.661,1.6,5.5,7.1,3,1,0.6,3,cluster_8
6997,D.J. Steward,2021,30.8,13,4.7,11,0.426,1.8,5.3,0.341,1.8,2.2,0.811,1.2,2.8,4,2.4,1.1,0.6,2,cluster_8
6998,Klay Thompson,2009,33.1,12.5,4.8,11.4,0.419,2.1,5,0.412,0.8,0.9,0.903,0.8,3.4,4.2,1.9,0.9,0.6,2.1,cluster_8
6999,Bracey Wright,2003,33.6,16.2,5.2,12.1,0.433,2.2,5.9,0.375,3.5,4.7,0.752,1.4,3.6,5,2.1,0.8,0.6,2.1,cluster_8
7000,Casey Walker,2011,32.6,13.4,4.6,11.4,0.401,2.4,7,0.348,1.8,2.2,0.831,0.8,2.4,3.2,0.8,0.8,0.6,1.5,cluster_8
7001,Cam Reddish,2019,29.7,13.5,4.3,12,0.356,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,cluster_8
7002,Tevin Brown,2019,32.8,11.8,3.9,9.5,0.414,2.7,7.3,0.372,1.2,1.4,0.809,0.6,4.1,4.7,2.3,1.1,0.6,1.1,cluster_8
7003,Jonah Antonio,2018,33.5,11.3,3.8,10.4,0.366,2.8,8.3,0.338,0.9,1.1,0.806,0.4,3.3,3.8,0.7,1.3,0.6,0.6,cluster_8
7004,Levi Levine,2003,34,13.2,4.7,10.9,0.43,1.1,2.8,0.392,2.7,3.5,0.776,1.6,4.3,6,1.8,1.6,0.7,1.9,cluster_8
7005,Milton Doyle,2014,32.8,14.9,4.8,11.3,0.424,1.3,4,0.315,4.1,5.8,0.699,0.9,3.3,4.2,3.6,1.2,0.7,3.4,cluster_8
7006,Brandon Rush,2006,31.7,13.5,5.2,10.9,0.474,1.5,3.2,0.472,1.6,2.1,0.771,1.5,5.1,6.5,2,0.9,0.7,2.5,cluster_8
7007,E.C. Matthews,2014,32.5,14.3,4.7,11.1,0.421,1.5,4.2,0.348,3.4,4.7,0.738,0.9,3.4,4.3,2.3,0.9,0.7,2.4,cluster_8
7008,Kevin Coble,2007,31.1,13.4,5.4,10.9,0.494,1.6,4,0.388,1.1,1.3,0.795,0.9,4.4,5.2,1.6,1.6,0.7,1.4,cluster_8
7009,Ben McLemore,2013,32.2,15.9,5.4,10.8,0.495,2,4.7,0.42,3.2,3.7,0.87,1.3,3.9,5.2,2,1,0.7,2.1,cluster_8
7010,Jahmi'us Ramsey,2020,31.1,15,5.5,12.4,0.442,2.2,5.2,0.426,1.9,2.9,0.641,0.7,3.3,4,2.2,1.3,0.7,2,cluster_8
7011,Antoine Wright,2003,31.8,14.5,5.1,14.1,0.364,2.3,5.9,0.382,2,3.2,0.611,1.2,5.4,6.6,1.8,1.3,0.7,2.3,cluster_8
7012,"Charlie Brown, Jr.",2017,34.2,12.8,4.2,11.1,0.375,2.3,6,0.384,2.2,2.7,0.819,1.1,3.9,5,1.1,0.8,0.7,1.2,cluster_8
7013,Jett Howard,2023,31.7,14.2,4.7,11.4,0.414,2.7,7.3,0.368,2.1,2.6,0.8,0.3,2.6,2.8,2,0.4,0.7,1.3,cluster_8
7014,Gabe Martin,2003,32.9,15.1,4.3,10.1,0.423,1.3,3.9,0.327,5.3,6.1,0.86,1.9,4.7,6.5,2.2,1.6,0.8,3.3,cluster_8
7015,Rayvonte Rice,2011,30.1,13.8,4.6,11.5,0.402,1.3,4.3,0.295,3.3,4.8,0.696,1.2,3.6,4.8,1.6,1.4,0.8,2,cluster_8
7016,Bradley Beal,2012,34.3,14.8,4.7,10.6,0.445,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,cluster_8
7017,G.G. Jackson,2023,31.9,15.4,5.5,14.4,0.384,1.7,5.3,0.324,2.6,3.9,0.677,1.5,4.4,5.9,0.8,0.8,0.8,2.7,cluster_8
7018,Tucker DeVries,2022,29.8,13.9,4.8,11.6,0.416,2.1,6.1,0.339,2.2,2.8,0.775,1.1,3.5,4.6,2.1,1,0.8,1.4,cluster_8
7019,Richard Roby,2005,30.8,16,5.6,12.7,0.445,2.2,6,0.374,2.5,3.4,0.728,1.2,3.6,4.8,1.9,1.6,0.8,2.7,cluster_8
7020,Lonzo Ball,2017,35.1,14.6,5.3,9.5,0.551,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6,7.6,1.8,0.8,2.5,cluster_8
7021,B.J. Omot,2023,31.2,12,4,10,0.396,1.3,4.4,0.301,2.7,3.6,0.742,1,2.7,3.7,1.4,0.4,0.9,1.2,cluster_8
7022,Jeremy Chappell,2006,36.1,14.1,5.2,11.4,0.456,1.8,4.6,0.396,1.9,2.7,0.705,2.2,3.5,5.7,2.6,1.9,0.9,1.6,cluster_8
7023,Gordon Hayward,2009,32.7,13.1,3.9,8.2,0.479,2.2,4.8,0.448,3.2,3.9,0.815,1.4,5,6.5,2,1.5,0.9,1.7,cluster_8
7024,Sam Iorio,2018,33.4,14.9,5.1,10.7,0.477,2.2,5.1,0.437,2.4,3.1,0.791,1.6,4.9,6.5,1.3,1.4,0.9,1.8,cluster_8
7025,Trey Townsend,2022,36.3,13.3,5.3,10,0.531,0.2,1.4,0.167,2.5,3.3,0.757,2.5,3.1,5.6,1.8,1.4,1,1.5,cluster_8
7026,Paul George,2009,34.6,14.3,4.9,10.4,0.47,1.9,4.1,0.447,2.7,3.9,0.697,1.9,4.4,6.2,1.9,1.7,1,2.3,cluster_8
7027,Taran Brown,2013,30,11.1,4.1,11,0.371,1.9,6,0.312,1.1,1.5,0.688,1.5,3.8,5.3,2,0.8,1,2.4,cluster_8
7028,Jake O'Brien,2009,34.8,12.5,4.2,10.3,0.406,2,5.6,0.365,2,2.6,0.772,1.2,3.4,4.6,0.8,0.4,1,1.2,cluster_8
7029,George Tinsley,2020,38.4,11.6,4.1,10.2,0.407,1.9,5.9,0.325,1.4,2,0.714,2.4,5,7.4,1.8,1.1,1.1,1.7,cluster_8
7030,Miye Oni,2017,31.2,12.9,4.4,9.9,0.443,2.1,5.3,0.396,2,2.6,0.784,0.9,5.4,6.3,2.7,0.7,1.1,2.3,cluster_8
7031,Jaden McDaniels,2020,31,13,4.4,10.8,0.405,1.4,4.1,0.339,2.8,3.7,0.763,1.1,4.7,5.8,2.1,0.8,1.4,3.2,cluster_8
